Số báo danh,Khối Thi,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa lý,GDCD
01031413,khtn,7.4,8,4.8,7.5,5.5,7.75,-1,-1,-1
01031414,khxh,5.6,5.75,5,-1,-1,-1,4.5,3,6.75
01031415,khxh,8.4,8.75,6.25,-1,-1,-1,5.25,8.8,7.75
01031416,khxh,7,7.75,7,-1,-1,-1,7.5,8,8.25
01031417,khtn,8,4.25,7.4,7.75,3.75,8,-1,-1,-1
01031418,khxh,7,7.25,7,-1,-1,-1,7,6.8,8
01031419,khxh,4.4,6,3.75,-1,-1,-1,5,4,7
01031420,khxh,8.2,8.25,7.25,-1,-1,-1,6.25,7,8
01031421,khtn,7,5,5.6,6,3.5,7.5,-1,-1,-1
01031422,khxh,8.4,8.25,7.75,-1,-1,-1,8.5,6.6,7.75
01031423,khxh,6.4,8.5,5,-1,-1,-1,5.75,5,7.5
01031424,khxh,8,8.5,7.75,-1,-1,-1,8,8.8,8.25
01031425,khxh,7.4,8.25,7.5,-1,-1,-1,7.75,9.2,8.75
01031426,khtn,7.2,8.25,5.6,4.5,6.5,4.25,-1,-1,-1
01031427,khxh,7.4,8.5,8.5,-1,-1,-1,7.25,8.4,8.75
01031428,NONE8.4,9.25,9.2,-1,-1,-1,-1,-1,-1
01031429,khxh,6.8,8.5,9,-1,-1,-1,8.25,9.8,9
01031430,khxh,6.8,8.5,7,-1,-1,-1,6.75,7.4,7.5
01031431,khtn,9,5.75,9.2,9,5,8,-1,-1,-1
01031432,khtn,7.4,3.5,6,6.75,4.75,7.25,-1,-1,-1
01031433,khxh,7.4,6.25,3.75,-1,-1,-1,6.5,3,6.25
01031434,khtn,8,4.75,7.8,8,3.5,7,-1,-1,-1
01031435,khxh,6.8,7.5,7.75,-1,-1,-1,6.75,8.4,8
01031436,khxh,7.6,8.75,8.25,-1,-1,-1,7,6.2,7.25
01031437,khtn,8.2,3.75,7.2,7.5,2.25,4.5,-1,-1,-1
01031438,khxh,7.8,8.5,8.5,-1,-1,-1,8.25,6.8,8.5
01031439,khxh,7,7.5,6.75,-1,-1,-1,4.5,7.8,7
01031440,khtn,8.6,5.25,8.8,8.75,6,8.5,-1,-1,-1
01031441,khtn,8.4,7.25,5.4,8.5,3.5,6.75,-1,-1,-1
01031442,khxh,7.6,9.25,8.25,-1,-1,-1,8.25,7.6,9
01031443,khtn,9,5,9.2,7.75,5.5,7.25,-1,-1,-1
01031444,khxh,8.2,7.75,6.25,-1,-1,-1,5.75,5.2,6.75
01031445,khxh,4.2,6.5,4,-1,-1,-1,6.5,4.2,7.25
01031446,khxh,7.4,7.5,8.5,-1,-1,-1,8.25,4.8,8
01031447,khtn,8.2,8.75,5.6,8.25,2.25,7.25,-1,-1,-1
01031448,khxh,7.6,7,6.75,-1,-1,-1,7.5,4,7.75
01031449,khtn,8.4,5,8.8,7.75,4,6.75,-1,-1,-1
01031450,NONE7.2,9.25,6.4,-1,-1,-1,-1,-1,-1
01031451,khtn,8.2,4.75,8.2,5.25,3.25,8,-1,-1,-1
01031452,khtn,8.6,5.75,8.6,9.25,6.25,7,-1,-1,-1
01031453,khxh,7.4,8,6.25,-1,-1,-1,6.25,6.6,8.75
01031454,khxh,3.4,6.25,4.75,-1,-1,-1,3.5,3.4,5.75
01031455,khtn,7.8,4.25,8.8,7,5,7.5,-1,-1,-1
01031456,khxh,5.8,7.75,4.5,-1,-1,-1,3.5,3.4,7.5
01031457,khxh,9,8.75,9,-1,-1,-1,8.5,9.8,9.25
01031458,khtn,8.2,2.25,6.8,7.5,4.25,8.25,-1,-1,-1
01031459,khxh,7,8,7.5,-1,-1,-1,7,5.2,7.5
01031460,khxh,7.8,9.5,9.25,-1,-1,-1,8.25,8.4,9.25
01031461,khxh,7,8.25,6.75,-1,-1,-1,7.75,9.4,7
01031462,khxh,7.6,7,7,-1,-1,-1,7.5,3.6,8.75
01031463,khxh,6,6,3.75,-1,-1,-1,5.25,4,7.25
01031464,khxh,7.6,8,4,-1,-1,-1,6.25,3.2,7.75
01031465,khxh,8,8.5,5.75,-1,-1,-1,7.5,8.8,8.25
01031466,khxh,5.2,7.25,7,-1,-1,-1,6.25,6,6.75
01031467,khxh,7.4,9,8.75,-1,-1,-1,6.5,9,8
01031468,khxh,5.6,7.75,5.5,-1,-1,-1,7.25,4.2,8.5
01031469,khxh,8.2,8.75,6.25,-1,-1,-1,8,7.8,8.75
01031470,khtn,7.4,4.25,3.8,3.25,4.5,7.25,-1,-1,-1
01031471,khxh,8.2,8.75,7.25,-1,-1,-1,7,9.4,8.25
01031472,khtn,8.2,4.25,7,7.5,3.75,8.5,-1,-1,-1
01031473,khxh,7.6,9,7.75,-1,-1,-1,8,8.8,8
01031474,khxh,6.8,8.5,9.25,-1,-1,-1,8,8.4,7.75
01031475,khtn,7.8,4.25,8.8,8,4.25,7.25,-1,-1,-1
01031476,khtn,7.6,4.25,9.2,4.5,3.5,6.5,-1,-1,-1
01031477,khxh,8,6.75,5.5,-1,-1,-1,5.5,6.4,7.25
01031478,khxh,6.8,8.5,8.25,-1,-1,-1,8.5,8.4,7.75
01031479,khtn,6,3.5,5,5.75,3.25,7.25,-1,-1,-1
01031480,khxh,5.8,6.25,5.25,-1,-1,-1,5.25,2.6,6.75
01031481,khxh,7.2,6.25,6,-1,-1,-1,6.25,3.6,6.5
01031482,khxh,8.4,8.75,8.75,-1,-1,-1,7.5,9,8.5
01031483,khtn,8.2,4.25,4.8,5,3.5,6.5,-1,-1,-1
01031484,khtn,6.2,3.25,4.4,4,2.5,8,-1,-1,-1
01031485,khxh,8,8.75,5,-1,-1,-1,7.5,7,8
01031486,khxh,9,8.25,7.5,-1,-1,-1,7.75,8.6,8.5
01031487,khxh,7,7.25,4,-1,-1,-1,6.5,6.4,7
01031488,khxh,5.6,7.5,5,-1,-1,-1,6.25,3.8,7
01031489,khxh,7.6,7.25,6.75,-1,-1,-1,5,6.4,6.5
01031490,khxh,5.2,7.25,7.5,-1,-1,-1,7.5,8,9.25
01031491,khxh,6.6,7.75,7,-1,-1,-1,6.75,9,8.75
01031492,khxh,8.2,8,5,-1,-1,-1,6.5,6.8,8.5
01031493,khtn,8.6,8.75,6.6,8.75,5.75,7.25,-1,-1,-1
01031494,khtn,8.8,8.25,6.4,7.75,3.25,5.5,-1,-1,-1
01031495,khxh,8,8,7.75,-1,-1,-1,7,9.4,9
01031496,khxh,8,6.75,8,-1,-1,-1,8.5,3.8,9
01031497,khtn,8.4,9.25,5.6,8.75,3.25,5.75,-1,-1,-1
01031498,khtn,8.4,4.25,9.2,7.25,3.25,7.75,-1,-1,-1
01031499,khxh,8.8,7.5,7.25,-1,-1,-1,8,8.4,8.75
01031500,khxh,8.2,8,7.5,-1,-1,-1,5.75,7.6,8.25
01031501,khxh,7.4,8,7.75,-1,-1,-1,7.25,8.8,8.5
01031502,khxh,8.2,8.25,8.25,-1,-1,-1,6.25,9.6,7.75
01031503,khtn,7.2,7.5,5.4,4.75,7.75,8,-1,-1,-1
01031504,khtn,7.8,4.75,2.8,3.25,2.75,6.5,-1,-1,-1
01031505,khxh,5.4,7.5,8,-1,-1,-1,6.75,3.2,6.5
01031506,khtn,8.4,8.5,7.4,8.5,7.25,8.5,-1,-1,-1
01031507,NONE7,9.25,7.2,-1,-1,-1,-1,-1,-1
01031508,khtn,8.4,8.5,7.4,4.75,3.5,8.5,-1,-1,-1
01031509,khtn,8.6,5.25,9.2,8.75,5.5,8.25,-1,-1,-1
01031510,khtn,8,3.25,7.2,6.25,4,6.25,-1,-1,-1
01031511,khxh,8,8.75,8.25,-1,-1,-1,7.5,7.8,8.5
01031512,khxh,7.6,7.75,7.25,-1,-1,-1,7.75,8.2,8
01031513,khxh,7.6,7,6,-1,-1,-1,6.5,7.2,8.25
01031514,khxh,7.4,5.75,5.75,-1,-1,-1,7,3.4,8.75
01031515,khxh,8,8,7,-1,-1,-1,7.75,5.2,8.75
01031516,khtn,8,6.25,4.8,7.75,4.5,8,-1,-1,-1
01031517,khtn,8.8,6.25,9,8.25,4,9,-1,-1,-1
01031518,khtn,8.6,8,5.6,8.5,4.25,8.25,-1,-1,-1
01031519,khxh,7.8,8.75,8.5,-1,-1,-1,8,6.6,9.25
01031520,khxh,5.2,6.5,4.5,-1,-1,-1,5,2.4,6
01031521,khxh,6.2,6,8,-1,-1,-1,6.5,5.6,8.5
01031522,khtn,6.6,6.75,5.2,5,3.25,6.75,-1,-1,-1
01031523,khxh,6.2,6,5.25,-1,-1,-1,6.25,5.2,7.75
01031524,khxh,5.8,5.75,5,-1,-1,-1,7.5,5.2,8
01031525,khxh,7.4,7.5,5,-1,-1,-1,6.5,4.2,8.25
01031526,khxh,6,8,5.5,-1,-1,-1,5.75,6.6,7.75
01031527,khxh,8.2,9.5,8.5,-1,-1,-1,8.25,7.6,8.5
01031528,khxh,6.4,8.75,7.25,-1,-1,-1,8.25,7,8.75
01031529,khtn,9.4,6.75,8.8,8.75,5.75,8.75,-1,-1,-1
01031530,khxh,7.6,8.25,6,-1,-1,-1,7.5,6.4,7.25
01031531,khxh,8,6.25,7,-1,-1,-1,7.5,3.4,7.25
01031532,khtn,8.6,7,9.2,7.75,6,4.25,-1,-1,-1
01031533,khxh,7,7.5,8.25,-1,-1,-1,6,7.4,7.25
01031534,khtn,7.8,6.75,3.2,6.5,4.5,7.75,-1,-1,-1
01031535,khxh,8,7.75,-1,-1,-1,-1,7.25,9.5,6.75
01031536,khtn,7.2,2.75,8.2,6.5,3.75,7.75,-1,-1,-1
01031537,khxh,7.6,8.5,7.5,-1,-1,-1,5.25,8.4,8.5
01031538,khtn,8.8,-1,-1,9,9,-1,-1,-1,-1
01031539,khxh,7.4,8.75,7.75,-1,-1,-1,7.25,7,8.5
01031540,khtn,7.4,5,6.2,7.25,3.75,7,-1,-1,-1
01031541,khtn,8.8,5.5,9.8,7.5,5,6.5,-1,-1,-1
01031542,khxh,7.6,8.25,6.25,-1,-1,-1,8,6.8,9
01031543,khtn,8.4,6,7.2,5.75,4.75,8,-1,-1,-1
01031544,khxh,6.4,9.25,7.25,-1,-1,-1,6.75,8.2,8
01031545,khxh,8.2,9.5,8.25,-1,-1,-1,7,9.4,8.5
01031546,khxh,7.8,8,7,-1,-1,-1,7.25,7.8,8.5
01031547,khxh,7.2,8.75,5,-1,-1,-1,6.75,8,7.75
01031548,khxh,8.8,8,10,-1,-1,-1,8.25,8.2,9
01031549,khtn,6.8,5.25,9.2,5.75,5,7,-1,-1,-1
01031550,khxh,6.4,8.5,5,-1,-1,-1,7.25,7,7
01031551,khxh,7,7.5,6,-1,-1,-1,7,6,8
01031552,khtn,8.2,8.75,8.8,9.5,6,5.5,-1,-1,-1
01031553,khxh,8.8,9,8.75,-1,-1,-1,7.5,9.2,8.75
01031554,khxh,7.8,9,5.75,-1,-1,-1,7.75,6.4,7.75
01031555,khxh,8.4,9.25,7.5,-1,-1,-1,7.75,8.4,8.25
01031556,khxh,7.2,7.5,6.75,-1,-1,-1,6.5,4.4,9
01031557,khxh,6,7.5,5.25,-1,-1,-1,6.25,3.4,8.25
01031558,khtn,8.8,9,5,8.5,3.5,8.25,-1,-1,-1
01031559,khxh,8,8.5,7.5,-1,-1,-1,7.5,6.6,8.25
01031560,khxh,8,8.5,6.75,-1,-1,-1,6,8.6,8.25
01031561,khxh,7,8.75,7,-1,-1,-1,7.5,8,8
01031562,khxh,6.2,7,8,-1,-1,-1,6.75,7.6,8
01031563,khtn,9.4,8.25,8,8.75,4.5,8.25,-1,-1,-1
01031564,khtn,6.6,2.5,8.8,5,5.5,7,-1,-1,-1
01031565,khtn,4.4,3,7.4,3.25,2.5,7.25,-1,-1,-1
01031566,khxh,7.8,9,6.5,-1,-1,-1,5,5.4,7.75
01031567,khxh,5.8,6.5,6.25,-1,-1,-1,6.5,7.6,7.75
01031568,khxh,7.8,8,8.75,-1,-1,-1,7.75,8.6,7.5
01031569,khtn,8.6,3.5,7.4,7.25,2.25,7.5,-1,-1,-1
01031570,NONE7.4,9.25,9.2,-1,-1,-1,-1,-1,-1
01031571,khxh,7,8.5,6,-1,-1,-1,7.75,8.6,8
01031572,khxh,7.4,9.25,6.75,-1,-1,-1,7.5,8.6,8.75
01031573,khtn,8.6,6.75,8.2,9,3.75,8.75,-1,-1,-1
01031574,khtn,8.6,8.25,8.4,4.5,5.25,8,-1,-1,-1
01031575,khtn,8.8,7.5,9.8,8,5,7.25,-1,-1,-1
01031576,khxh,8.2,8.25,7.75,-1,-1,-1,7.5,9.6,8.5
01031577,khtn,8.4,8.25,2.6,8,3.5,6.25,-1,-1,-1
01031578,khxh,8.8,8.75,9.75,-1,-1,-1,8.5,8.6,9.5
01031579,khtn,7.8,7.75,5,7.5,3.75,5.25,-1,-1,-1
01031580,khtn,8.6,5.75,6.8,6.5,4,7.5,-1,-1,-1
01031581,khtn,9,5.75,9.2,9.25,5.25,7,-1,-1,-1
01031582,khxh,7.2,7.75,7.75,-1,-1,-1,7,3.4,8.75
01031583,khxh,6.8,8.5,7.25,-1,-1,-1,6.5,4.8,7.75
01031584,khxh,6.4,7.75,5.75,-1,-1,-1,7,4.4,5.75
01031585,khxh,4.2,4.25,7.25,-1,-1,-1,6.25,2.6,8.25
01031586,khtn,7.6,7.25,4.2,5.75,3.75,8.75,-1,-1,-1
01031587,khtn,8.6,7.75,6.8,8,5,7.75,-1,-1,-1
01031588,khxh,-1,7.75,7.25,-1,-1,-1,7.25,7.8,7.5
01031589,khtn,8.2,8.75,7.6,9.25,6,5.5,-1,-1,-1
01031590,khxh,8,8,6,-1,-1,-1,7,6.4,7.25
01031591,khxh,8.2,8.5,7.25,-1,-1,-1,9.25,8,8
01031592,khtn,7.6,8.25,3,8,5,7.25,-1,-1,-1
01031593,khxh,7.4,7.25,7.75,-1,-1,-1,7.25,4.8,8
01031594,khxh,7,9,5.5,-1,-1,-1,5.5,5.6,6.5
01031595,khtn,7.4,2,7,4.5,3.75,9,-1,-1,-1
01031596,khxh,7.4,9,7,-1,-1,-1,8,7,8.5
01031597,khtn,8.2,-1,-1,8.5,8.5,3.75,-1,-1,-1
01031598,khtn,6,-1,-1,-1,8.75,8.25,-1,-1,-1
01031599,NONE7.4,8.5,7.2,-1,-1,-1,-1,-1,-1
01031600,khxh,-1,7,-1,-1,-1,-1,8.75,8,-1
01031601,khtn,8.2,-1,-1,-1,8.75,8.25,-1,-1,-1
01031602,khxh,3.8,5.5,5.25,-1,-1,-1,7,2,6.75
01031603,khxh,-1,2.5,-1,-1,-1,-1,3.5,4,-1
01031604,NONE8.4,7,5.6,-1,-1,-1,-1,-1,-1
01031605,khtn,8.6,-1,-1,7.5,7.5,-1,-1,-1,-1
01031606,NONE8.2,9.25,9.2,-1,-1,-1,-1,-1,-1
01031607,khtn,8.6,-1,-1,8.5,8.75,2.25,-1,-1,-1
01031608,khxh,-1,4.25,-1,-1,-1,-1,4.5,4.25,-1
01031609,NONE8.2,9.25,6.8,-1,-1,-1,-1,-1,-1
01031610,khtn,8.4,-1,9,7.5,-1,-1,-1,-1,-1
01031611,khtn,9,-1,8,9,-1,-1,-1,-1,-1
01031612,khxh,-1,5.25,-1,-1,-1,-1,5,6.75,-1
01031613,khxh,-1,4.5,-1,-1,-1,-1,3.5,6,-1
01031614,khtn,9.2,-1,-1,6.75,8.75,8.5,-1,-1,-1
01031615,khtn,9.2,-1,7.5,9,4.25,8.8,-1,-1,-1
01031616,khxh,-1,3.25,-1,-1,-1,-1,3.25,6.25,-1
01031617,khxh,-1,5,-1,-1,-1,-1,7.75,6,-1
01031618,khxh,7.8,7.5,-1,-1,-1,-1,8.5,-1,-1
01031619,khtn,7.8,5,8.2,6.75,5.5,3.5,-1,-1,-1
01031620,khxh,-1,4.75,-1,-1,-1,-1,4.5,4.25,-1
01031621,NONE8,8.75,7.4,-1,-1,-1,-1,-1,-1
01031622,khtn,8.4,-1,-1,7,8.5,-1,-1,-1,-1
01031623,khtn,8,-1,-1,7.75,7.5,3.25,-1,-1,-1
01031624,NONE7.8,8.25,8.6,-1,-1,-1,-1,-1,-1
01031625,khtn,6.8,-1,-1,5.5,-1,-1,-1,-1,-1
01031626,NONE6.6,8.25,7,-1,-1,-1,-1,-1,-1
01031627,khxh,-1,4.75,-1,-1,-1,-1,5.75,5.5,-1
01031628,khxh,-1,6.5,-1,-1,-1,-1,7.5,6,-1
01031629,NONE6.8,6.25,5.6,-1,-1,-1,-1,-1,-1
01031630,khxh,3.2,4.25,-1,-1,-1,-1,2.5,-1,-1
01031631,NONE7.8,8.5,7.4,-1,-1,-1,-1,-1,-1
01031632,khxh,8,8.25,-1,-1,-1,-1,9.5,6.75,-1
01031633,khxh,7.8,9.25,7.5,-1,-1,-1,8,9.4,-1
01031634,NONE8,7.75,7.6,-1,-1,-1,-1,-1,-1
01031635,khtn,8.2,-1,7.8,-1,8.5,-1,-1,-1,-1
01031636,khxh,-1,7.5,-1,-1,-1,-1,6.5,7,-1
01031637,khxh,-1,5.5,-1,-1,-1,-1,7,6.5,-1
01031638,khxh,-1,5.25,-1,-1,-1,-1,6,5.25,-1
01031639,khtn,7.6,-1,-1,6.25,7.25,2.5,-1,-1,-1
01031640,khtn,8.6,-1,7,7,2.75,-1,-1,-1,-1
01031641,NONE8.6,8.5,7.8,-1,-1,-1,-1,-1,-1
01031642,khtn,7.4,-1,-1,7,7.75,-1,-1,-1,-1
01031643,khxh,-1,3.5,-1,-1,-1,-1,7.75,6.75,-1
01031644,khxh,-1,8.5,-1,-1,-1,-1,8.5,9.25,-1
01031645,khxh,-1,7.75,-1,-1,-1,-1,4.75,6.75,-1
01031646,khxh,-1,5.5,-1,-1,-1,-1,4.75,6.25,-1
01031647,khtn,7.8,-1,-1,6.75,6.25,-1,-1,-1,-1
01031648,khxh,-1,5,-1,-1,-1,-1,4.75,6,-1
01031649,khxh,-1,5.5,-1,-1,-1,-1,6.25,5.5,-1
01031650,khxh,-1,5.25,-1,-1,-1,-1,4,4.25,-1
01031651,khtn,7.8,-1,-1,5,8.5,8.75,-1,-1,-1
01031652,NONE8.4,8.25,5.8,-1,-1,-1,-1,-1,-1
01031653,khxh,8.2,9.25,4.5,-1,-1,-1,6.25,8,6.75
01031654,khtn,8.8,-1,-1,7.75,7.75,3.25,-1,-1,-1
01031655,khtn,7.6,-1,-1,5.25,7.5,-1,-1,-1,-1
01031656,khtn,6.8,-1,-1,5.75,6.5,-1,-1,-1,-1
01031657,khxh,7.4,6.25,-1,-1,-1,-1,6.75,-1,-1
01031658,khxh,-1,5.5,-1,-1,-1,-1,6,7,-1
01031659,khxh,6.2,6.75,-1,-1,-1,-1,8,-1,-1
01031660,NONE7.8,8,8.6,-1,-1,-1,-1,-1,-1
01031661,NONE8.4,6.75,8.8,-1,-1,-1,-1,-1,-1
01031662,khtn,5.2,-1,-1,4,1.75,-1,-1,-1,-1
01031663,khtn,7.2,-1,-1,7.5,5.75,-1,-1,-1,-1
01031664,NONE7.6,9,8.4,-1,-1,-1,-1,-1,-1
01031665,khxh,7.2,8.75,6.25,-1,-1,-1,6.5,4.2,7
01031666,NONE7.2,8.75,7.8,-1,-1,-1,-1,-1,-1
01031667,khtn,9.2,-1,-1,3,9.25,8,-1,-1,-1
01031668,khxh,-1,8.75,-1,-1,-1,-1,8.5,9.25,8.75
01031669,NONE-1,-1,-1,-1,-1,-1,-1,-1,-1
01031670,khxh,-1,7.75,-1,-1,-1,-1,7.5,7.5,-1
01031671,khxh,-1,5.5,-1,-1,-1,-1,5.5,5,-1
01031672,NONE-1,-1,1.8,-1,-1,-1,-1,-1,-1
01031673,khtn,8,-1,-1,6.25,8.75,-1,-1,-1,-1
01031674,khtn,8,-1,-1,5.25,8.25,6.5,-1,-1,-1
01031675,khtn,8.4,-1,7.4,5.75,-1,-1,-1,-1,-1
01031676,khxh,-1,9.25,8.75,-1,-1,-1,7.75,8,7
01031677,khxh,-1,7,-1,-1,-1,-1,4.25,7,-1
01031678,khxh,-1,3.75,-1,-1,-1,-1,5.25,3.5,-1
01031679,khxh,-1,7.5,-1,-1,-1,-1,5.25,5.5,-1
01031680,khtn,3.6,-1,4.25,3.75,4.5,7.2,-1,-1,-1
01031681,khxh,7,7.75,5.5,-1,-1,-1,6,4.8,7.75
01031682,khxh,-1,5,-1,-1,-1,-1,5.5,6.5,-1
01031683,khtn,8.8,-1,3,7,3.5,7.6,-1,-1,-1
01031684,khxh,6.4,7.5,-1,-1,-1,-1,7,7.5,-1
01031685,NONE7.8,8.25,9.6,-1,-1,-1,-1,-1,-1
01031686,khxh,8.2,8.25,-1,-1,-1,-1,9.5,-1,-1
01031687,NONE5,9,8,-1,-1,-1,-1,-1,-1
01031688,khxh,-1,7.25,-1,-1,-1,-1,7.5,8,-1
01031689,khxh,2.8,5.25,-1,-1,-1,-1,5.5,-1,-1
01031690,khxh,8.6,8.75,7.25,-1,-1,-1,8.25,8,9
01031691,khxh,6.8,8.75,5.75,-1,-1,-1,5,4.4,7.75
01031692,khxh,-1,5,-1,-1,-1,-1,4.75,5.25,-1
01031693,khxh,-1,7,-1,-1,-1,-1,5.75,5.5,-1
01031694,khxh,-1,6.5,-1,-1,-1,-1,5.5,5.75,-1
01031695,khxh,-1,8.75,-1,-1,-1,-1,8.75,7.75,-1
01031696,khxh,-1,5,-1,-1,-1,-1,5.75,4.75,-1
01031697,khxh,-1,5.25,-1,-1,-1,-1,7,6.5,-1
01031698,khxh,3.6,4.5,-1,-1,-1,-1,4,-1,-1
01031699,khtn,8.4,-1,3.6,-1,7.25,6,-1,-1,-1
01031700,khtn,8.6,-1,3,8.5,3.75,9,-1,-1,-1
01031701,khtn,6.8,-1,-1,-1,6.75,5,-1,-1,-1
01031702,NONE-1,-1,-1,-1,-1,-1,-1,-1,-1
01031703,khxh,-1,6.5,-1,-1,-1,-1,6.75,7.75,-1
01031704,khtn,5.4,-1,-1,5.25,3.25,-1,-1,-1,-1
01031705,khtn,8.4,-1,-1,7.5,8.25,-1,-1,-1,-1
01031706,khtn,9.2,-1,7.6,7.5,-1,-1,-1,-1,-1
01031707,khtn,7.4,-1,-1,-1,6.5,3.5,-1,-1,-1
01031708,khtn,7.2,-1,-1,2.75,6.75,4.25,-1,-1,-1
01031709,khxh,-1,8.75,-1,-1,-1,-1,10,9,8
01031710,NONE7.4,8.25,7.2,-1,-1,-1,-1,-1,-1
01031711,khtn,8,-1,8.5,6.75,3,8,-1,-1,-1
01031712,khxh,7.4,7.5,4,-1,-1,-1,5.75,3.2,8.5
01031713,khxh,-1,2.75,-1,-1,-1,-1,4,5.5,-1
01031714,khtn,9.2,-1,9.2,9.25,4.25,-1,-1,-1,-1
01031715,khxh,-1,8.25,-1,-1,-1,-1,9.5,9.25,-1
01031716,khxh,-1,3.5,-1,-1,-1,-1,4.75,5.75,-1
01031717,khxh,6.8,7.75,7,-1,-1,-1,6.25,5.6,7
01031718,khxh,-1,4.75,-1,-1,-1,-1,2.75,4.75,-1
01031719,khxh,7.8,6.75,5.5,-1,-1,-1,6.25,4.6,6.5
01031720,khxh,7,7.75,6,-1,-1,-1,7,3.4,8.5
01031721,khxh,7.6,7.75,7.5,-1,-1,-1,7,7.6,8.5
01031722,khxh,8.2,9.25,7.5,-1,-1,-1,6.25,9.4,9.5
01031723,khxh,8,8.5,7.5,-1,-1,-1,8,9.4,9.25
01031724,khxh,9,8.75,7.75,-1,-1,-1,7.75,8.4,8.75
01031725,khxh,6.2,5.75,7.5,-1,-1,-1,6.25,3.8,7.75
01031726,khxh,7,9,5,-1,-1,-1,6.5,7,7.75
01031727,khxh,8.6,9,8.75,-1,-1,-1,7.75,8.4,8.75
01031728,khxh,6.4,8,6,-1,-1,-1,6,8,8.5
01031729,khxh,6.4,8.5,6.75,-1,-1,-1,6,5.6,6.5
01031730,khxh,8,6.5,8.25,-1,-1,-1,7.25,5.6,8.25
01031731,khxh,6.4,6.25,7,-1,-1,-1,7.25,1.8,8.5
01031732,khxh,7,8.25,6.75,-1,-1,-1,7.25,3,6.5
01031733,khxh,7.4,7.75,7.25,-1,-1,-1,8,5.6,9.25
01031734,khxh,5.4,6.5,6.5,-1,-1,-1,5.25,5.2,7
01031735,khxh,5.8,6.5,4.25,-1,-1,-1,4.75,3,7.75
01031736,khxh,6.4,7.25,6,-1,-1,-1,6,4.8,8
01031737,khxh,7.8,7.75,8.5,-1,-1,-1,8.25,9.8,8
01031738,khxh,6.2,7.25,6.75,-1,-1,-1,6.25,8.8,7.5
01031739,khxh,7.8,9.25,9,-1,-1,-1,6.25,8.8,9.5
01031740,khxh,7.8,9,7.5,-1,-1,-1,7.75,7.6,8.5
01031741,khxh,8.2,8.75,6.75,-1,-1,-1,6,6.8,7.75
01031742,khxh,5.6,7.75,8,-1,-1,-1,8.75,6.8,8.25
01031743,khxh,5.2,4.75,6,-1,-1,-1,4.5,3.4,7.25
01031744,khxh,7.2,7.5,7.75,-1,-1,-1,7.5,7.8,8.75
01031745,khxh,8.4,8.5,8.25,-1,-1,-1,6.5,9.2,7.75
01031746,khxh,6.4,9,6,-1,-1,-1,6,5.4,8.25
01031747,khxh,8.4,8.25,8.5,-1,-1,-1,5.5,9.4,7.75
01031748,khxh,8.4,8.5,6.5,-1,-1,-1,7,8.8,7.75
01031749,khxh,6.4,7.75,7.5,-1,-1,-1,6.75,3.4,8.5
01031750,khxh,8,8.25,6.5,-1,-1,-1,7.25,6.4,8
01031751,khxh,7,8.25,7.75,-1,-1,-1,6.75,6.6,8.25
01031752,khxh,6.2,7.5,7,-1,-1,-1,6.75,5.8,7.75
01031753,khxh,6.8,8.25,6,-1,-1,-1,6.75,6.4,8.5
01031754,NONE-1,-1,-1,-1,-1,-1,-1,-1,-1
01031755,khxh,9,9,7.5,-1,-1,-1,7.5,9.4,9.5
01031756,khxh,5.4,7.75,7,-1,-1,-1,7,5.4,7.75
01031757,khxh,7.4,7.75,6.75,-1,-1,-1,5.75,8.6,8.25
01031758,khxh,-1,6.25,-1,-1,-1,-1,6.25,6.5,-1
01031759,khxh,7.6,6.5,5.5,-1,-1,-1,7.5,6,7.75
01031760,khxh,6.4,6,8,-1,-1,-1,6.5,5.6,7.75
01031761,khxh,3.6,4.5,-1,-1,-1,-1,8,-1,-1
01031762,khxh,6.4,6.5,4.75,-1,-1,-1,6.25,6.8,8.5
01031763,khxh,-1,4.5,-1,-1,-1,-1,4,6.75,-1
01031764,khxh,7.6,5.5,7.5,-1,-1,-1,6,4.4,6.5
01031765,khxh,7,7.5,7.25,-1,-1,-1,7.75,6,6.5
01031766,khxh,6.2,7.5,8,-1,-1,-1,6,4,7.5
01031767,khxh,6.4,6.75,7.25,-1,-1,-1,6.75,4,8.25
01031768,khxh,7.2,7.5,4.5,-1,-1,-1,5.25,3,8.25
01031769,khxh,8,8,4.75,-1,-1,-1,8,4,7.5
01031770,khxh,8.4,8.75,7.25,-1,-1,-1,8.5,8.4,8
01031771,khxh,7.6,8,7.5,-1,-1,-1,8.25,5.4,8
01031772,khxh,7,9,6.25,-1,-1,-1,7,7.2,8
01031773,khxh,7.8,8,5.25,-1,-1,-1,6.5,5,8.5
01031774,khxh,5.4,7.75,6,-1,-1,-1,5.5,1.6,7.25
01031775,khxh,2,2.75,2.5,-1,-1,-1,4.75,2.2,4.5
01031776,khxh,5.2,8.75,7.75,-1,-1,-1,6.25,5.6,8.25
01031777,khxh,8.4,8.25,7.5,-1,-1,-1,6.75,6.4,8.75
01031778,khxh,8,9,7,-1,-1,-1,8.25,9.6,9
01031779,khxh,7.6,8.75,7.5,-1,-1,-1,7.5,7,7
01031780,khxh,8,8.75,6.75,-1,-1,-1,6.75,9,8
01031781,khxh,8.2,9,6.25,-1,-1,-1,6.5,6,8
